GeneSymbol,Exp017028_T_Py,Exp017022_T_An,Exp025215_T_An,Exp025241_T_An,Exp025255_T_An,Exp008534_T_An,Exp016992_T_AI,Exp017032_T_AI,Exp017036_T_AI,Exp016986_T_GC,Exp017006_T_GC,Exp025221_T_GC,Exp025227_T_GC,Exp025253_T_GC,Exp025447_T_GC,Exp008579_T_GC,Exp016996_T_LC,Exp017038_T_LC,Exp025243_T_Fu,Exp008546_T_Fu,Exp008577_T_Fu,Exp016998_T_Ca,Exp017000_T_Ca,Exp025211_T_Ca,Exp025245_T_Ca,Exp025249_T_Ca,Exp025449_T_Ca,Exp025451_T_Ca,Exp008536_T_Ca,Exp017029_P_Py,Exp017023_P_An,Exp025216_P_An,Exp025242_P_An,Exp025256_P_An,Exp008535_P_An,Exp016993_P_AI,Exp017033_P_AI,Exp017037_P_AI,Exp016987_P_GC,Exp017007_P_GC,Exp025222_P_GC,Exp025228_P_GC,Exp025254_P_GC,Exp025448_P_GC,Exp008580_P_GC,Exp016997_P_LC,Exp017039_P_LC,Exp025244_P_Fu,Exp008547_P_Fu,Exp008578_P_Fu,Exp016999_P_Ca,Exp017001_P_Ca,Exp025212_P_Ca,Exp025246_P_Ca,Exp025250_P_Ca,Exp025450_P_Ca,Exp025452_P_Ca,Exp008537_P_Ca
FAM206A,0.0,0.0,0.134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC41A3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPCAT2,0.303,0.217,0.43200000000000005,1.1840000000000002,1.8430000000000002,0.162,0.0,0.326,0.23800000000000002,0.107,0.741,0.38,0.34,1.1440000000000001,0.028999999999999998,0.085,0.0,1.33,0.19399999999999998,0.33299999999999996,0.184,0.287,0.087,0.867,0.47200000000000003,0.243,0.0,0.021,0.075,0.396,0.134,0.109,0.7829999999999999,1.484,0.165,0.0,0.667,0.35200000000000004,0.0,0.07,0.125,0.331,0.701,0.109,0.615,0.079,0.23399999999999999,0.249,0.057,0.221,0.10300000000000001,0.073,0.758,0.348,0.47,0.0,0.06,0.149
MRPL16,0.426,0.0,0.0,0.0,0.0,0.098,0.71,0.486,0.289,0.6409999999999999,0.073,0.0,0.20600000000000002,0.0,0.0,0.0,0.371,0.222,2.42,0.183,0.113,1.136,2.9760000000000004,0.0,0.626,0.0,0.0,0.084,0.0,0.42200000000000004,0.514,0.478,0.281,0.0,0.0,0.527,0.265,0.507,0.24600000000000002,0.342,0.19,0.0,0.0,1.443,0.0,2.679,0.377,0.271,0.0,0.41700000000000004,0.69,0.499,0.254,0.435,0.0,0.0,0.313,0.0
SDHAF2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8490000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COMMD8,0.525,0.0,0.905,0.0,0.0,0.306,0.872,1.242,0.5770000000000001,0.963,0.188,0.47,0.285,0.0,0.0,0.098,0.631,0.5760000000000001,0.045,0.36700000000000005,0.595,0.981,0.38299999999999995,0.775,0.0,0.0,0.0,0.256,0.0,0.0,0.0,0.395,0.0,0.0,0.348,0.632,1.635,0.307,0.429,0.726,0.606,0.193,0.0,0.16,0.5589999999999999,0.524,0.0,0.21100000000000002,0.179,0.5329999999999999,0.65,0.252,0.525,0.0,0.0,0.0,0.619,0.6
C1orf27,0.094,0.045,0.348,0.324,0.0,0.264,0.0,0.521,0.18100000000000002,0.0,0.034,0.278,0.47200000000000003,0.125,0.009000000000000001,0.019,0.079,0.214,0.3,0.275,0.132,0.10400000000000001,0.915,0.409,0.0,0.583,0.024,0.015,0.122,0.248,0.0,1.05,0.18,0.0,0.315,0.05,0.581,0.565,0.136,0.596,1.1340000000000001,1.225,0.445,0.621,0.125,0.212,0.384,0.6809999999999999,0.21100000000000002,0.22899999999999998,0.055999999999999994,1.5290000000000001,0.772,0.046,2.416,0.0,0.02,0.243
FAM120C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARP16,0.0,0.0,0.0,0.0,0.0,0.16899999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMEM160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.141,0.0,0.0,0.0,0.0,0.0,0.486,0.0,0.0,0.0
SSH3,0.444,0.852,0.289,0.727,0.0,0.168,3.523,0.431,0.24,0.0,0.018000000000000002,4.041,1.507,4.816,0.0,0.245,0.195,0.353,0.531,3.943,0.109,0.04,0.114,4.539,0.47700000000000004,0.035,0.006,0.175,0.449,0.135,1.093,0.29100000000000004,1.847,0.114,3.145,0.11699999999999999,1.476,2.015,0.0,0.608,1.476,2.414,2.734,0.18,3.2460000000000004,0.174,0.275,0.331,2.9389999999999996,2.233,0.655,0.0,0.759,0.889,0.467,0.031,0.47200000000000003,1.849
UCKL1,0.096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.184,0.643,0.0,0.0,0.092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011000000000000001,0.0,0.0,0.0,0.0,0.0,0.035,0.0,0.0,0.0,0.013999999999999999,0.0,0.069,0.0,0.0,0.038,0.0,0.0,1.218,0.0,0.0,0.018000000000000002,0.0,0.0,0.0,0.017,0.0
CXorf48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMEM70,0.244,0.0,0.502,0.0,0.257,0.467,0.0,0.0,0.076,0.0,0.0,0.561,0.38299999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.8740000000000001,0.18,0.48,0.0,0.456,0.0,0.0,0.0,0.0,0.11599999999999999,0.0,0.0,0.375,0.634,0.0,0.5539999999999999,0.0,0.064,0.20199999999999999,0.0,0.0,0.0,0.321,1.237,0.457,0.442,0.447,0.201,0.0,0.0,0.878,0.222,0.0,0.401,0.0,0.0,0.0,0.0,0.315
C4orf27,0.0,0.0,0.085,0.0,0.11699999999999999,0.0,0.0,0.0,0.027000000000000003,0.5820000000000001,0.0,0.05,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.086,0.113,0.0,0.013000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.043,0.0,0.0,0.0,0.128,0.03,0.0,0.0,0.09300000000000001,0.248,0.0,0.0,0.0,0.0,0.066,0.275,0.0,0.177,0.055,0.0,0.0,0.0,0.413
TTC12,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
